0,RMSE005865_TO0324_PNI-17476_000001,"Histoire de l'astronomie moderne; par M. Delambre, chevalier de Saint-Michel...etc., etc. Tome premier [-second] Vol. 1","Delambre, Jean Baptiste Joseph","Paris : chez Courcier, ..., rue du Jardinet-Saint-Andre-des Arcs, n. ",1821,"* | Copertina | 1
* | Frontespizio | 5
* | Dedica : Alla sacra maestà di Carlo Alberto Re di Sardegna, ... | 7
* | Divisione di queste ricerche | 11
* | Ricerche fisico chimico fisiologiche ... | 13
* | Indice delle materie | 107
* | Illustrazione | 115
* | Copertina | 121
"
487,TO0E036450_TO0324_PNI-589_000001,"Voyage au Bresil, dans les annees 1815, 1816 et 1817, par s. a. s. Maximilien, prince de Wied-Neuwied; traduit de l'allemand par J. B. B. Eyries. Ouvrage enrichi d'un superbe atlas, compose de 41 planches gravees en taille-douce, et de trois cartes. Tome premier (-troisieme) Vol. 1","Maximilian Alexander Philipp [principe di Wied-Neuwied]","",1821,"* | Copertina | 1
* | Occhietto : Voyage au Brésil | 5
* | Ouvrages nouveaux chez le méme Libraire ... | 6
* | Frontespizio | 7
* | Introduction | 9
* | Table des chapitres | 21
* | Voyage au Brésil ... | 23
* | Copertina | 425
"
488,TO0E111722_TO0324_PNI-22000_000004,"Voyage au Bresil, dans les annees 1815, 1816 et 1817, par s. a. s. Maximilien: Atlas","Maximilian Alexander Philipp [principe di Wied-Neuwied]","A Paris : chez Arthus Bertrand, libraire editeur, rue Hautefeuille, nO ",1822,"* | Copertina | 1
* | Frontespizio | 3
* | Cet atlas se compose des planches suivantes | 5
* | Tavole | 7
* | Copertina | 75
"
489,TO0E106362_TO0324_PNI-18304_000000,"Remarques astronomiques sur le livre de Daniel. Memoire sur les satellites. Loi et propriete de l'equilibre. Probabilites sur la duree de la vie humaine. Tables des equinoxes du soleil et de la lune. Par Jean Phil. L. de Cheseaux, ...","Loys de Cheseaux, Jean Philippe : de","A Lausanne, et se trouve a Paris : chez Lamy, libraire, Quai des Augustins, pres de la rue Pavee",1777,"* | Copertina | 1
* | Occhietto : Suite des savans etrangers de l'academie des sciences | 5
* | Avis au relieur pour placer les figures | 6
* | Frontespizio | 7
* | Sentimens de MM. De Mairan et Cassini | 9
* | Remarques historiques, chronologiques, et astronomiques, sur quelques endroits du livre de Daniel | 11
* | Suite des remarques astronomiques sur Daniel ou second dissertation | 64
* | Troisieme dissertation sur la grandeur et la figure de la terre | 145
* | Corollaires arithmetiques et geometriques de la dissertation precedente | 163
* | Probleme sur l'oscillation du pendule dans un arc de cercle | 167
* | Sur les satellites en general, et sur ceux de saturne en particulier | 175
* | Loi de l'équilibre démontrée, avec le principe du levier et du coin | 194
* | Probleme geometrique sur le nombre des personnes qui meurent dans chaque àge | 205
* | Resolution geometrique de la racine cubique | 210
* | Tables des momens de l'equinoxe moven, et de la nouvelle lune moyenne equinoctiale | 213
* | Tables du soleil | 219
* | Tables de la lune | 231
* | Table des articles | 242
* | Copertina | 245
"
490,TO0E036453_TO0324_PNI-591_000003,"Voyage au Bresil, dans les annees 1815, 1816 et 1817, par s. a. s. Maximilien, prince de Wied-Neuwied; traduit de l'allemand par J. B. B. Eyries. Ouvrage enrichi d'un superbe atlas, compose de 41 planches gravees en taille-douce, et de trois cartes. Tome premier (-troisieme) Vol. 3","Maximilian Alexander Philipp [principe di Wied-Neuwied]","",1822,"* | Copertina | 1
* | Occhietto : Voyage au Brésil | 5
* | Frontespizio | 7
* | Table des chapitres du tome troisième | 9
* | Voyage au Brésil ... | 13
* | Appendice | 293
* | Copertina | 399
"
491,TO0E036452_TO0324_PNI-590_000002,"Voyage au Bresil, dans les annees 1815, 1816 et 1817, par s. a. s. Maximilien, prince de Wied-Neuwied; traduit de l'allemand par J. B. B. Eyries. Ouvrage enrichi d'un superbe atlas, compose de 41 planches gravees en taille-douce, et de trois cartes. Tome premier (-troisieme) Vol. 2","Maximilian Alexander Philipp [principe di Wied-Neuwied]","",1821,"* | Copertina | 1
* | Occhietto : Voyage au Brésil | 5
* | Frontespizio | 7
* | Table des chapitres du tome second | 9
* | Voyage au Brésil ... | 13
* | Copertina | 413
"
492,SBL0402324_TO0324_88809_000000,"Guida all'analisi chimica qualitativa : opera scritta ad uso dei principianti / dal d. Remigio Fresenius ....","Fresenius, Carl Remigius","Torino : G. Pomba",1845,"* | Copertina | 1
* | Occhietto : Guida all'analisi chimica qualitativa | 3
* | Frontespizio | 5
* | Gli editori | 7
* | Agli allievi della scuola di chimica della R. Università di Torino. Il traduttore | 9
* | Dedica : Al Sig. Dott. Clamor Marquart farmacista e preside dell'istituto farmaceutico di Bonn in segno di rispetto e di riconoscenza | 17
* | Prefazione | 19
* | Guida all'analisi chimica qualitativa ... | 23
* | Tavola delle materie | 411
* | Errata corrige | 421
* | Copertina | 424
"
493,TO0E000864_TO0324_PNI-195_000001,"Elettricismo artificiale di Giambatista Beccaria delle scuole pie all'altezza reale del signor duca di Chablais","Beccaria, Giambatista","In Torino : nella Stamperia reale",1772,"* | Copertina | 1
* | Frontespizio | 5
* | Dedica : Altezza reale | 7
* | Al lettore | 11
* | Dell'elettricismo artificiale | 13
* | Indice de' capi, e degli articoli | 438
* | Indice secondo la serie de' numeri | 441
* | Errata corrige | 452
* | Illustrazioni | 454
"
494,CFIE011642_TO0324_PNI-17329_000000,"Tabulae Alphonsinae perpetuae motuum coelestium denuo restitutae & illustratae a Francisco Garcia Ventanas mathematico ...","Garcia Ventanas, Francisco","Matriti : in Officina Regia",1641,"* | Copertina | 1
* | Frontespizio | 5
* | Tassa | 7
* | Errata corrige | 8
* | Summa del privilegio | 9
* | Approbatio | 10
* | Approvacion del ordinario | 11
* | Approbatio | 12
* | Dedica: Al excellentissimo senor Don Bernardino Fernandez de Velasco y Touar ... | 13
* | Lectori, proemium | 17
* | Tabulae ... | 21
* | Imprimatur | 276
* | Copertina | 279
"
495,TO0E011670_TO0324_PNI-17875_000001,"Catechismo chimico di Samuele Parkes traduzione fatta sulla settima edizione inglese con note di Giovanni Pozzi ... Due volumi divisi in quattro parti con figure Vol. 1","Parkes, Samuel","",,"* | Copertina | 1
* | Occhietto : Catechismo chimico di Samuele Parkes | 5
* | Epigrafe | 6
* | Frontespizio | 7
* | Imprimatur | 8
* | Prefazione del traduttore | 9
* | Prefazione della quarta edizione | 13
* | Avviso della settima edizione | 22
* | Descrizione della tavola in rame | 25
* | Saggio sull'utilità dello studio della chimica | 29
* | Catechismo chimico di Samuele Parkes | 63
* | Indice del Volume Primo | 513
* | Opere varie pubblicate dal P. D. Antonio Cesari ... | 514
* | Copertina | 519
"
496,TO0E011671_TO0324_PNI-17876_000002,"Catechismo chimico di Samuele Parkes traduzione fatta sulla settima edizione inglese con note di Giovanni Pozzi ... Due volumi divisi in quattro parti con figure Vol. 2","Parkes, Samuel","",,"* | Copertina | 1
* | Occhietto : Catechismo chimico di Samuele Parkes | 5
* | Frontespizio | 7
* | Catechismo chimico di Samuele Parkes | 9
* | Indice del volume secondo | 634
* | Illustrazione | 639
* | Errata corrige | 641
* | Grammatica della lingua tedesca ... | 642
* | Biblioteca scelta di opere italiane antiche e moderne | 643
* | Copertina | 647
"
497,CFIE009954_TO0324_PNI-16521_000002,"Elementi dell'aritmetica universale e della geometria piana e solida di Filippo Antonio Revelli ... Parte 1.[-2.] Vol. 2","Revelli, Filippo Antonio","",,"* | Copertina | 1
* | Frontespizio | 5
* | Elementi della geometria  | 7
* | Indice delle definiz. del lib. VII | 321
* | Indice delle operazioni pratiche | 322
* | Illustrazioni | 325
* | Copertina | 351
"
498,TO0E075947_TO0324_PNI-11191_000000,"Trattato aritmetico -pratico o sia conti fatti di tutto cio, che possa occorrere tanto in vendere, quanto in comprare ... opera del regio liquidatore Vittorio Saraceno","Saraceno, Vittorio","Torino : Presso Carlo Maria Toscanelli librajo di S.A.S. il signor Principe di Carignano, ed Arcivescovile nella contrada de'guardinfanti",1782,"* | Copertina | 1
* | Frontespizio | 5
* | Illustrazione | 6
* | Al cortese lettore | 7
* | Introduzione alla presente opera | 11
* | Trattato Aritmetico-Pratico ... | 43
* | Frontespizio | 677
* | Il librajo a chi legge | 679
* | Avviso | 681
* | Indice delle spezie d'oro | 683
* | Indice delle spezie d'argento | 684
* | Nuova tariffa ... | 677
* | Copertina | 761
"
499,TO01230820_TO0324_87838_000001,"Théorie du mouvement de la lune / par Jean Plana Vol. 1","Plana, Giovanni","Turin : Imprimerie royale",1832,"* | Copertina | 1
* | Occhietto : Théorie du mouvement de la Lune | 7
* | Frontespizio | 9
* | A sa Majestè le Roi Charles Albert | 11
* | Discours préliminaire | 17
* | Tables des matières | 33
* | Théorie du mouvement de la Lune | 39
* | Imprimatur | 833
* | Copertina | 835
"
500,TO01230826_TO0324_87840_000003,"Théorie du mouvement de la lune / par Jean Plana Vol. 3","Plana, Giovanni","Turin : Imprimerie royale",1832,"* | Copertina | 1
* | Occhietto : Théorie du mouvement de la Lune | 5
* | Frontespizio | 7
* | Table des matierès | 9
* | Théorie du mouvement de la Lune | 13
* | Imprimatur | 874
* | Copertina | 878
"
501,TO0E002009_TO0324_PNI-19221_000000,"Il corso delle monete seguito negli Stati di S.S.R.M. il Re di Sardegna di qua dal mare, e particolarmente nel Piemonte dal 1300 sino al presente appoggiato agli editti, e manifesti camerali di tempo in tempo emanati, ed arricchito di note riguardanti il peso, e bonta delle medesime, e di molte altre particolari no","Saraceno, Vittorio","Torino : presso Carlo Maria Toscanelli",1782,"* | Copertina | 1
* | Occhietto : Il corso delle monete seguito negli stati di S. S. R. M. il Re di Sardegna | 5
* | Frontespizio | 7
* | Illustrazione | 8
* | Proemio | 9
* | Corso delle monete seguito in questi stati | 13
* | Errata corrige | 155
* | Catalogo di vari libri, che si vendono dallo stesso libraio Toscanelli ... | 156
* | Copertina | 158
"
502,TO01230823_TO0324_87839_000002,"Théorie du mouvement de la lune / par Jean Plana Vol. 2","Plana, Giovanni","Turin : Imprimerie royale",1832,"* | Copertina | 1
* | Occhietto : Théorie du mouvement de la Lune | 5
* | Frontespizio | 7
* | Tables des matières | 9
* | Théorie du mouvement de la Lune | 15
* | Copertina | 881
"
503,TO0E001367_TO0324_PNI-19223_000000,"Trattato o sia tariffa di tutte le monete d'oro, e d'argento, secondo il loro valore comunemente corso dalli 15 maggio 1658 sino al presente. Aggiuntovi alcune notizie riguardanti tanti il nome, e valore delle monete vecchie cavate da' libri antichi, quanto li pesi e misure che in oggi si praticano si in Torino, che nel Piemonte. Di piu dodeci tavole ... opera del regio notajo e liquidatore in Torino Vittorio Saraceno","Saraceno, Vittorio","In Torino : presso Il Masserano stampatore e librajo vicino a S. Lorenzo",1776,"* | Copertina | 1
* | Frontespizio | 3
* | Ai benigni lettori | 5
* | Trattato o sia tariffa di tutte le monete d'oro, e d'argento | 7
* | Indice | 142
* | Errata corrige | 143
* | Copertina | 144
"
504,CFIE009953_TO0324_PNI-16520_000001,"Elementi dell'aritmetica universale e della geometria piana e solida di Filippo Antonio Revelli ... Parte 1.[-2.] Vol. 1","Revelli, Filippo Antonio","",,"* | Copertina | 1
* | Frontespizio | 5
* | Giammichele Briolo | 7
* | A. L.  | 12
* | Errata corrige | 16
* | Nozioni preliminari | 17
* | Elementi dell'aritmentica universale | 21
* | Elementi della geometria piana, e solida | 175
* | Copertina | 251
"
505,TO0E093662_TO0324_PNI-14824_000000,"Considerazioni sovra il programma pubblicato dalla reale accademia delle scienze nel giorno 4. di gennaio 1788","nan","Torino : presso Giammichele Briolo stamp. e lib. della rr. ac. delle scienze e societa agraria, [post 1788]",1788,"* | Copertina | 1
* | Frontespizio | 7
* | Dedica: Al Nobilissimo Cavaliere dell'Ordine de' Santi Morizio e Lazzaro ... | 9
* | Esordio | 13
* | Considerazioni sovra il programma ... | 22
* | Errata corrige | 101
* | Copertina | 107
"
506,UBOE005599_TO0324_PNI-3236_000000,"Commentarii duodecim de rebus ad scientiam naturalem pertinentibus auctore Joanne Baptista Scarella ...","Scarella, Giovanni Battista","Brixiae : ex Typographia Joannis-Mariae Rizzardi",1766,"* | Copertina | 1
* | Frontespizio | 7
* | Illustrissimo ac Reverendissimo Domino Joanni Hieronymo Gradonico Archiepiscopo Utinensi | 9
* | Praefatio | 15
* | Index commentariorum, capitum et articulorum | 41
* | Errata corrige | 45
* | Imprimatur | 46
* | Commentarii ... | 47
* | Tavole | 507
* | Copertina | 515
"
507,TO0E007273_TO0324_PNI-15341_000000,"Exercitationes vitruvianae primae [-tertiae]. Hoc est: Ioannis Poleni commentarius criticus de M. Vitruvii Pollionis architecti. 10. librorum editionibus, necnon de eorundem editoribus, atque de aliis, qui Vitruvium quocumque modo explicarunt, aut illustrarunt","Poleni, Giovanni","Patavii et prostant Venetiis : typis Seminarii apud Ioannem Manfre apud Franciscum Pitteri",1739,"* | Copertina | 1
* | Frontespizio | 3
* | Senatoribus praestantissimis triumviris ... | 5
* | Ioanni Poleni commentarius criticus de M. Vitruvii ... | 7
* | Frontespizio | 143
* | Io. Baptista Morgagni epistola ... | 145
* | m. Vitruvii Pollionis ... | 153
* | Anonymus scriptor vetus ... | 175
* | Frontespizio | 223
* | Ioannisi Poleni in exercitationes ... | 225
* | Series scriptorum, ex quorum opusculis ... | 229
* | Scamilli impares vitruviani ... | 231
* | Claudii Ptolomaei ... | 263
* | Io. Buteonis ad locum ... | 273
* | Hemicyclium berosi ... | 281
* | De echeis, hoc ... | 289
* | De echeis, sive phonismis ... | 299
* | Iosephi Salvati pictoris ... | 307
* | Volta ionica ... | 319
* | Loca obscura et difficilia ... | 331
* | Copertina | 367
"
508,TO00717265_TO0324_46996_000000,"La tacheometrie, ou L'art de lever des plans et de faire les nivellements avec beaucoup de precision et une economie de temps considerable / par J. Porro","Porro, Ignazio","Paris : V. Dalmont",1858,"* | Copertina | 1
* | Occhietto : La tachéométrie  | 3
* | Avis au Lecteur | 4
* | Frontespizio | 5
* | Lettre. Ecrite par M. Isidore ... | 7
* | Errata corrige | 11
* | Avertissement | 15
* | Résumé et conclusions | 18
* | Introduction | 25
* | La tachéométrie | 33
* | Addition relative au cadastre | 285
* | Tables de réfraction centésimales | 309
* | Table des matierès | 319
* | Explication des planches | 323
* | Illustrazioni | 327
* | Copertina | 337
"
509,TO00178340_TO0324_965_000035,"Biblioteca oltremontana ad uso d'Italia : colla notizia dei libri stampati in Piemonte Vol. XI","nan","Torino : Reale Stamperia",1787,"* | Frontespizio | 1
* | Biblioteca Oltremontana | 3
* | Indice | 96
"
510,TO00178340_TO0324_965_000030,"Biblioteca oltremontana ad uso d'Italia : colla notizia dei libri stampati in Piemonte Vol. VI","nan","Torino : Reale Stamperia",1787,"* | Frontespizio | 1
* | Biblioteca Oltremontana | 3
* | Indice | 105
* | Copertina | 111
"
511,TO00178341_TO0324_966_000002,"Biblioteca oltremontana e piemontese Vol. II","nan","Torino : Reale Stamperia",1790,"* | Frontespizio | 1
* | Biblioteca Oltremontana e Piemontese | 3
* | Indice | 164
"
512,TO00178341_TO0324_966_000003,"Biblioteca oltremontana e piemontese Vol. III","nan","Torino : Reale Stamperia",1790,"* | Frontespizio | 1
* | Biblioteca Oltremontana e Piemontese | 3
* | Indice | 199
* | Copertina | 213
"
513,TO00178320_TO0324_958_000004,"Biblioteca dell' anno ... - Vol. 1 (1792) - Vol. 4 (1793) Volume IV","nan","Torino : Reale Stamperia",1792,"* | Copertina | 1
* | Frontespizio | 5
* | Biblioteca dell'Anno MDCCXCII | 7
* | Indice del Vol. IV | 302
* | Copertina | 307
"
514,TO00178340_TO0324_965_000023,"Biblioteca oltremontana ad uso d'Italia : colla notizia dei libri stampati in Piemonte Vol. XI","nan","Torino : Reale Stamperia",1787,"* | Frontespizio | 1
* | Biblioteca Oltremontana | 3
* | Indice | 110
* | Avviso | 111
"
515,TO00178341_TO0324_966_000006,"Biblioteca oltremontana e piemontese Vol. VI","nan","Torino : Reale Stamperia",1790,"* | Frontespizio | 1
* | Biblioteca Oltremontana e Piemontese | 3
* | Indice | 122
* | Tavola | 129
* | Copertina | 133
"
516,TO00178341_TO0324_966_000024,"Biblioteca oltremontana e piemontese Vol. XII","nan","Torino : Reale Stamperia",1790,"* | Frontespizio | 1
* | Biblioteca Oltremontana e Piemontese | 3
* | Indice | 107
* | Avviso | 111
* | Copertina | 115
"
517,TO00178340_TO0324_965_000032,"Biblioteca oltremontana ad uso d'Italia : colla notizia dei libri stampati in Piemonte Vol. VIII","nan","Torino : Reale Stamperia",1787,"* | Frontespizio | 1
* | Biblioteca Oltremontana | 3
* | Indice | 122
* | Tavola | 123
"
518,TO00178320_TO0324_958_000008,"Biblioteca dell' anno ... - Vol. 1 (1792) - Vol. 4 (1793) Volume IV","nan","Torino : Reale Stamperia",1792,"* | Copertina | 1
* | Frontespizio | 5
* | Biblioteca dell'Anno MDCCXCIII | 7
* | Indice del Vol. IV | 304
* | Copertina | 307
"
519,TO00178340_TO0324_965_000007,"Biblioteca oltremontana ad uso d'Italia : colla notizia dei libri stampati in Piemonte Vol. VII","nan","Torino : Reale Stamperia",1787,"* | Copertina | 1
* | Frontespizio | 5
* | Biblioteca Oltremontana | 7
* | Indice | 112
"
520,TO00178340_TO0324_965_000011,"Biblioteca oltremontana ad uso d'Italia : colla notizia dei libri stampati in Piemonte Vol. XI","nan","Torino : Reale Stamperia",1787,"* | Frontespizio | 1
* | Biblioteca Oltremontana | 3
* | Indice | 112
"
521,TO00178340_TO0324_965_000022,"Biblioteca oltremontana ad uso d'Italia : colla notizia dei libri stampati in Piemonte Vol. X","nan","Torino : Reale Stamperia",1787,"* | Copertina | 1
* | Frontespizio | 5
* | Biblioteca Oltremontana | 7
* | Indice | 118
"
522,TO00178340_TO0324_965_000010,"Biblioteca oltremontana ad uso d'Italia : colla notizia dei libri stampati in Piemonte Vol. X","nan","Torino : Reale Stamperia",1787,"* | Copertina | 1
* | Frontespizio | 5
* | Biblioteca Oltremontana | 7
* | Indice | 116
"
523,TO00178340_TO0324_965_000006,"Biblioteca oltremontana ad uso d'Italia : colla notizia dei libri stampati in Piemonte Vol. VI","nan","Torino : Reale Stamperia",1787,"* | Frontespizio | 1
* | Biblioteca Oltremontana | 3
* | Indice | 114
* | Copertina | 119
"
524,TO00178340_TO0324_965_000017,"Biblioteca oltremontana ad uso d'Italia : colla notizia dei libri stampati in Piemonte Vol. V","nan","Torino : Reale Stamperia",1787,"* | Frontespizio | 1
* | Biblioteca Oltremontana | 3
* | Indice | 112
"
525,TO00178341_TO0324_966_000022,"Biblioteca oltremontana e piemontese Vol. X","nan","Torino : Reale Stamperia",1790,"* | Copertina | 1
* | Frontespizio | 5
* | Biblioteca Oltremontana e Piemontese | 7
* | Indice | 121
"
526,TO00178340_TO0324_965_000003,"Biblioteca oltremontana ad uso d'Italia : colla notizia dei libri stampati in Piemonte Vol. III","nan","Torino : Reale Stamperia",1787,"* | Frontespizio | 1
* | Biblioteca Oltremontana | 3
* | Indice | 119
* | Copertina | 123
"
527,TO00178340_TO0324_965_000029,"Biblioteca oltremontana ad uso d'Italia : colla notizia dei libri stampati in Piemonte Vol. V","nan","Torino : Reale Stamperia",1787,"* | Frontespizio | 1
* | Biblioteca Oltremontana | 3
* | Indice | 134
"
528,TO00178341_TO0324_966_000023,"Biblioteca oltremontana e piemontese Vol. XI","nan","Torino : Reale Stamperia",1790,"* | Frontespizio | 1
* | Biblioteca Oltremontana e Piemontese | 3
* | Indice | 107
"
529,TO00178341_TO0324_966_000013,"Biblioteca oltremontana e piemontese Vol. I","nan","Torino : Reale Stamperia",1790,"* | Copertina | 1
* | Frontespizio | 5
* | Biblioteca Oltremontana e Piemontese | 7
* | Indice | 142
"
530,TO00178340_TO0324_965_000021,"Biblioteca oltremontana ad uso d'Italia : colla notizia dei libri stampati in Piemonte Vol. IX","nan","Torino : Reale Stamperia",1787,"* | Frontespizio | 1
* | Biblioteca Oltremontana | 3
* | Indice | 109
* | Copertina | 115
"
531,TO00178340_TO0324_965_000026,"Biblioteca oltremontana ad uso d'Italia : colla notizia dei libri stampati in Piemonte Vol. II","nan","Torino : Reale Stamperia",1787,"* | Frontespizio | 1
* | Biblioteca Oltremontana | 3
* | Indice | 125
* | Nota | 127
"
532,TO00178341_TO0324_966_000019,"Biblioteca oltremontana e piemontese Vol. VII","nan","Torino : Reale Stamperia",1790,"* | Copertina | 1
* | Frontespizio | 5
* | Biblioteca Oltremontana e Piemontese | 7
* | Indice | 117
"
533,TO00178341_TO0324_966_000007,"Biblioteca oltremontana e piemontese Vol. VII","nan","Torino : Reale Stamperia",1790,"* | Copertina | 1
* | Frontespizio | 5
* | Biblioteca Oltremontana e Piemontese | 7
* | Indice | 116
"
534,TO00178341_TO0324_966_000018,"Biblioteca oltremontana e piemontese Vol. VI","nan","Torino : Reale Stamperia",1790,"* | Frontespizio | 1
* | Biblioteca Oltremontana e Piemontese | 3
* | Indice | 111
* | Copertina | 119
"
535,TO00178320_TO0324_958_000002,"Biblioteca dell' anno ... - Vol. 1 (1792) - Vol. 4 (1793) Volume II","nan","Torino : Reale Stamperia",1792,"* | Copertina | 1
* | Frontespizio | 5
* | Biblioteca dell'Anno MDCCXCII | 7
* | Indice del Vol. II | 302
* | Copertina | 307
"
536,TO00178340_TO0324_965_000036,"Biblioteca oltremontana ad uso d'Italia : colla notizia dei libri stampati in Piemonte Vol. XII","nan","Torino : Reale Stamperia",1787,"* | Frontespizio | 1
* | Biblioteca Oltremontana | 3
* | Indice | 112
* | Copertina | 127
"
537,TO00178340_TO0324_965_000020,"Biblioteca oltremontana ad uso d'Italia : colla notizia dei libri stampati in Piemonte Vol. VIII","nan","Torino : Reale Stamperia",1787,"* | Frontespizio | 1
* | Biblioteca Oltremontana | 3
* | Indice | 116
"
538,TO00178341_TO0324_966_000005,"Biblioteca oltremontana e piemontese Vol. V","nan","Torino : Reale Stamperia",1790,"* | Frontespizio | 1
* | Biblioteca Oltremontana e Piemontese | 3
* | Indice | 124
"
539,TO00178320_TO0324_958_000001,"Biblioteca dell' anno ... - Vol. 1 (1792) - Vol. 4 (1793) Volume I","nan","Torino : Reale Stamperia",1792,"* | Copertina | 1
* | Frontespizio | 5
* | Biblioteca dell'Anno MDCCXCII | 7
* | Indice del Vol. I | 302
* | Copertina | 307
"
540,TO00178341_TO0324_966_000011,"Biblioteca oltremontana e piemontese Vol. XI","nan","Torino : Reale Stamperia",1790,"* | Frontespizio | 1
* | Biblioteca Oltremontana e Piemontese | 3
* | Indice | 133
"
541,TO00178340_TO0324_965_000018,"Biblioteca oltremontana ad uso d'Italia : colla notizia dei libri stampati in Piemonte Vol. VI","nan","Torino : Reale Stamperia",1787,"* | Frontespizio | 1
* | Biblioteca Oltremontana | 3
* | Indice | 112
* | Copertina | 117
"
542,TO00178340_TO0324_965_000019,"Biblioteca oltremontana ad uso d'Italia : colla notizia dei libri stampati in Piemonte Vol. VII","nan","Torino : Reale Stamperia",1787,"* | Copertina | 1
* | Frontespizio | 5
* | Biblioteca Oltremontana | 7
* | Indice | 124
"
543,TO00178340_TO0324_965_000031,"Biblioteca oltremontana ad uso d'Italia : colla notizia dei libri stampati in Piemonte Vol. VII","nan","Torino : Reale Stamperia",1787,"* | Copertina | 1
* | Frontespizio | 5
* | Biblioteca Oltremontana | 7
* | Indice | 142
"
544,TO00178320_TO0324_958_000007,"Biblioteca dell' anno ... - Vol. 1 (1792) - Vol. 4 (1793) Volume III","nan","Torino : Reale Stamperia",1792,"* | Copertina | 1
* | Frontespizio | 5
* | Biblioteca dell'Anno MDCCXCIII | 7
* | Indice del Vol. III | 300
* | Copertina | 304
"
545,TO00178340_TO0324_965_000005,"Biblioteca oltremontana ad uso d'Italia : colla notizia dei libri stampati in Piemonte Vol. V","nan","Torino : Reale Stamperia",1787,"* | Frontespizio | 1
* | Biblioteca Oltremontana | 3
* | Indice | 112
"
546,TO00178341_TO0324_966_000020,"Biblioteca oltremontana e piemontese Vol. VIII","nan","Torino : Reale Stamperia",1790,"* | Frontespizio | 1
* | Biblioteca Oltremontana e Piemontese | 3
* | Indice | 100
"
547,TO00178320_TO0324_958_000003,"Biblioteca dell' anno ... - Vol. 1 (1792) - Vol. 4 (1793) Volume III","nan","Torino : Reale Stamperia",1792,"* | Copertina | 1
* | Frontespizio | 5
* | Biblioteca dell'Anno MDCCXCII | 7
* | Indice del Vol. III | 303
* | Copertina | 307
"
548,TO00178340_TO0324_965_000033,"Biblioteca oltremontana ad uso d'Italia : colla notizia dei libri stampati in Piemonte Vol. IX","nan","Torino : Reale Stamperia",1787,"* | Frontespizio | 1
* | Biblioteca Oltremontana | 3
* | Indice | 111
* | Imprimatur | 112
* | Tavole | 113
* | Copertina | 119
"
549,TO00178340_TO0324_965_000001,"Biblioteca oltremontana ad uso d'Italia : colla notizia dei libri stampati in Piemonte Vol. I","nan","Torino : Reale Stamperia",1787,"* | Copertina | 1
* | Frontespizio | 5
* | Biblioteca Oltremontana | 7
"
550,TO00178340_TO0324_965_000015,"Biblioteca oltremontana ad uso d'Italia : colla notizia dei libri stampati in Piemonte Vol. III","nan","Torino : Reale Stamperia",1787,"* | Frontespizio | 1
* | Biblioteca Oltremontana | 3
* | Indice | 108
* | Copertina | 113
"
551,TO00178341_TO0324_966_000009,"Biblioteca oltremontana e piemontese Vol. IX","nan","Torino : Reale Stamperia",1790,"* | Frontespizio | 1
* | Biblioteca Oltremontana e Piemontese | 3
* | Indice | 118
* | Copertina | 127
"
552,TO00178340_TO0324_965_000027,"Biblioteca oltremontana ad uso d'Italia : colla notizia dei libri stampati in Piemonte Vol. III","nan","Torino : Reale Stamperia",1787,"* | Frontespizio | 1
* | Biblioteca Oltremontana | 3
* | Indice | 127
* | Copertina | 131
"
553,TO00178341_TO0324_966_000021,"Biblioteca oltremontana e piemontese Vol. IX","nan","Torino : Reale Stamperia",1790,"* | Frontespizio | 1
* | Biblioteca Oltremontana e Piemontese | 3
* | Indice | 97
* | Copertina | 103
"
554,TO00178341_TO0324_966_000017,"Biblioteca oltremontana e piemontese Vol. V","nan","Torino : Reale Stamperia",1790,"* | Frontespizio | 1
* | Biblioteca Oltremontana e Piemontese | 3
* | Indice | 115
"
555,TO00178340_TO0324_965_000008,"Biblioteca oltremontana ad uso d'Italia : colla notizia dei libri stampati in Piemonte Vol. VIII","nan","Torino : Reale Stamperia",1787,"* | Frontespizio | 1
* | Biblioteca Oltremontana | 3
* | Indice | 112
"
556,TO00178341_TO0324_966_000008,"Biblioteca oltremontana e piemontese Vol. VIII","nan","Torino : Reale Stamperia",1790,"* | Frontespizio | 1
* | Biblioteca Oltremontana e Piemontese | 3
* | Indice | 146
"
557,TO00178320_TO0324_958_000005,"Biblioteca dell' anno ... - Vol. 1 (1792) - Vol. 4 (1793) Volume I","nan","Torino : Reale Stamperia",1792,"* | Copertina | 1
* | Frontespizio | 5
* | A' Cortesi Leggitori | 7
* | Biblioteca dell'Anno MDCCXCIII | 15
* | Indice del Vol. I | 307
* | Copertina | 311
"
558,TO00178341_TO0324_966_000010,"Biblioteca oltremontana e piemontese Vol. X","nan","Torino : Reale Stamperia",1790,"* | Copertina | 1
* | Frontespizio | 5
* | Biblioteca Oltremontana e Piemontese | 7
* | Indice | 140
* | Tavole | 146
"
559,TO00178340_TO0324_965_000014,"Biblioteca oltremontana ad uso d'Italia : colla notizia dei libri stampati in Piemonte Vol. II","nan","Torino : Reale Stamperia",1787,"* | Frontespizio | 1
* | Biblioteca Oltremontana | 3
* | Indice | 114
"
560,TO00178320_TO0324_958_000006,"Biblioteca dell' anno ... - Vol. 1 (1792) - Vol. 4 (1793) Volume II","nan","Torino : Reale Stamperia",1792,"* | Copertina | 1
* | Frontespizio | 5
* | Biblioteca dell'Anno MDCCXCIII | 7
* | Indice del Vol. II | 303
* | Copertina | 307
